Concept,Encoder,Dataset,Resolution,Pool,Last_Acc(%),Best_Acc(%),Best_Epoch,Num_Classes
CHI,siglip,CHI,appro-moveaway-27f40159,concat,100.0,100.0,2,2
CHI,siglip,CHI,appro-moveaway-27f40159,concat_full,87.5,93.75,15,2
CHI,siglip,CHI,camera-left-right-ccff0ef2,concat,50.0,61.76,16,2
CHI,siglip,CHI,camera-up-down-edebebd4,concat,60.0,80.0,4,2
CHI,siglip,CHI,closing-opening-677ffe97,concat,85.0,85.0,35,2
CHI,siglip,CHI,closing-opening-book-81dd0413,concat,93.94,93.94,4,2
CHI,siglip,CHI,closing-opening-book-81dd0413,concat_full,96.97,96.97,13,2
CHI,siglip,CHI,closing-opening-bottle-c1c62263,concat,72.5,85.0,17,2
CHI,siglip,CHI,closing-opening-door-584d53c4,concat,84.0,88.0,10,2
CHI,siglip,CHI,closing-opening-drawer-1539a698,concat,96.77,96.77,11,2
CHI,siglip,CHI,closing-opening-purse-15c7cb08,concat,50.0,83.33,12,2
CHI,siglip,CHI,folding-unfolding-12055391,concat,88.47,89.72,25,2
CHI,siglip,CHI,moving-away-towrads-545d0d67,concat,78.12,81.25,11,2
CHI,siglip,CHI,moving-closer-away-a1383a77,concat,83.33,87.5,47,2
CHI,siglip,CHI,moving-down-up-3f20f09b,concat,85.39,86.53,42,2
CHI,siglip,CHI,pulling_lr-106d2603,concat,64.47,73.68,18,2
CHI,siglip,CHI,pulling_lr-106d2603,concat_full,93.42,93.42,9,2
CHI,siglip,CHI,pushing-lr-743faf6b,concat,61.22,62.59,26,2
CHI,siglip,CHI,putting-taking-b58b2f93,concat,68.42,73.16,25,2
E2E_Real,clip,E2E_real_VP_default,10x10,concat,96.15,96.15,1,2
E2E_Real,clip,E2E_real_VP_default,10x10,concat_full,96.15,100.0,8,4
E2E_Real,clip,E2E_real_VP_default,12x12,concat,96.15,96.15,1,2
E2E_Real,clip,E2E_real_VP_default,12x12,concat_full,96.15,98.08,22,2
E2E_Real,clip,E2E_real_VP_default,6x6,concat,96.15,96.15,1,2
E2E_Real,clip,E2E_real_VP_default,6x6,concat_full,98.08,98.08,19,2
E2E_Real,llava-ov-7b,E2E_real_VP_default,10x10,concat_full,86.54,90.38,10,4
E2E_Real,llava-ov-7b,E2E_real_VP_default,14x14,concat_full,98.08,100.0,8,4
E2E_Real,llava-ov-7b,E2E_real_VP_default,4x4,concat_full,90.38,100.0,5,4
E2E_Real,siglip,E2E_real_VP_default,10x10_adaptive_average,concat_full,84.62,84.62,24,4
E2E_Real,siglip,E2E_real_VP_default,10x10_average,concat_full,84.62,84.62,24,4
E2E_Real,siglip,E2E_real_VP_default,10x10_bilinear,concat,36.54,42.31,27,4
E2E_Real,siglip,E2E_real_VP_default,10x10_bilinear,concat_full,78.85,78.85,39,4
E2E_Real,siglip,E2E_real_VP_default,10x10_bilinear,mean,1.92,17.31,1,4
E2E_Real,siglip,E2E_real_VP_default,10x10_bilinear_align_corner_true,concat_full,73.08,75.0,7,4
E2E_Real,siglip,E2E_real_VP_default,10x10_max,concat_full,88.46,88.46,48,4
E2E_Real,siglip,E2E_real_VP_default,11x11,concat_full,75.0,78.85,10,4
E2E_Real,siglip,E2E_real_VP_default,4x4,concat,34.62,40.38,49,4
E2E_Real,siglip,E2E_real_VP_default,4x4,concat_full,100.0,100.0,14,4
E2E_Real,siglip,E2E_real_VP_default,4x4,mean,0.0,17.31,1,4
E2E_Real_Bigger_Linear,siglip,E2E_real_VP_default_bigger,10x10,concat_full,90.38,92.31,10,4
E2E_Real_Bigger_Linear,siglip,E2E_real_VP_default_bigger,14x14,concat_full,98.08,100.0,8,4
E2E_Real_Bigger_Linear,siglip,E2E_real_VP_default_bigger,27x27,concat_full,38.46,42.31,6,4
E2E_Real_Bigger_Linear,siglip,E2E_real_VP_default_bigger,2x2,concat,40.38,40.38,50,4
E2E_Real_Bigger_Linear,siglip,E2E_real_VP_default_bigger,2x2,concat_full,100.0,100.0,4,4
E2E_Real_Bigger_Linear,siglip,E2E_real_VP_default_bigger,4x4,concat_full,98.08,98.08,9,4
E2E_Real_Bigger_Linear,siglip,E2E_real_VP_default_bigger,6x6,concat_full,94.23,94.23,5,4
E2E_Real_Bigger_Nonlinear,siglip,E2E_real_VP_default_bigger_nonlinear,10x10,concat_full,71.15,84.62,6,4
E2E_Real_Bigger_Nonlinear,siglip,E2E_real_VP_default_bigger_nonlinear,14x14,concat_full,90.38,94.23,12,4
E2E_Real_Bigger_Nonlinear,siglip,E2E_real_VP_default_bigger_nonlinear,27x27,concat_full,28.85,40.38,11,4
E2E_Real_Bigger_Nonlinear,siglip,E2E_real_VP_default_bigger_nonlinear,2x2,concat_full,82.69,92.31,7,4
E2E_Real_Bigger_Nonlinear,siglip,E2E_real_VP_default_bigger_nonlinear,4x4,concat_full,98.08,100.0,4,4
E2E_Real_Bigger_Nonlinear,siglip,E2E_real_VP_default_bigger_nonlinear,6x6,concat_full,86.54,98.08,8,4
SSv2,clip,ssv2_VP_default,10x10,concat,52.0,52.0,1,2
SSv2,clip,ssv2_VP_default,10x10,concat_full,86.0,87.0,12,2
SSv2,clip,ssv2_VP_default,12x12,concat,50.0,55.0,4,2
SSv2,clip,ssv2_VP_default,12x12,concat_full,83.0,84.0,8,2
SSv2,clip,ssv2_VP_default,6x6,concat,53.0,55.0,27,2
SSv2,clip,ssv2_VP_default,6x6,concat_full,87.0,91.0,4,2
